TCE_F,TCE_NAC_F,NAC_F,TCE_M,TCE_NAC_M,NAC_M
-0.276401156,-0.622434162,-0.459971167,-1.666057465,-1.895089438,-0.523206292
0.977260471,-3.739146366,-1.576731183,-0.017935802,-0.691058215,-1.876366527
1.192105888,-2.915744649,-0.733877521,1.244935841,-7.371661434,-5.471586981
-1.741104441,-0.921408256,-1.068755183,-1.009850406,-0.102174039,-0.750092131
1.191884669,-2.277713829,-1.989885183,-0.765448103,-1.876273275,-2.076104647
-0.954634069,-2.348471552,-2.377204712,4.036919426,-3.282888703,-0.375210069
2.042259778,3.463302893,1.328029549,2.970218441,4.975025949,3.774935078
-0.642931104,-4.502282667,-2.219887213,0.055322029,-1.350042132,1.150283679
1.598994144,-4.005203719,-1.236163998,-0.958643154,-1.085774141,0.594171985
-0.18358172,-0.417557924,-0.286308545,1.20177156,2.523089317,2.979978833
-1.567999352,-0.286912071,-0.652504479,-0.890404172,-1.501599014,-0.220872883
0.295700124,-4.948118237,-0.812953419,-0.418007449,-1.988913171,-0.476517898
0.433827468,-3.713935746,-0.965956521,5.022627091,-6.585242849,-3.109816222
0.172955147,0.586776872,0.688759116,-1.576619587,-0.722311022,-0.851398944
0.65187622,0.251261599,0.507921499,-1.852591298,-0.827395827,-0.728386036
0.95788704,-0.096361251,-1.712635094,-0.339914613,-2.059967424,3.889860165
2.572101958,0.928026718,-1.302728726,-1.733810327,-0.504843924,-2.381693631
0.135810167,0.517109781,0.401716358,-2.938275232,-2.395563264,0.597458002
0.453574237,2.1845345,-0.174025701,1.703615975,2.28912248,0.431006595
2.011442059,0.887352962,1.673658367,0.318815514,0.105646033,0.264841992
1.605934089,1.228917134,2.644698164,0.414641886,1.233748844,2.488111065
2.331568056,1.58275077,1.469785592,0.827854106,0.029050449,0.286734315
0.723869913,-2.01358974,-0.381841341,-1.858283398,0.036942279,1.238192752
1.068046419,2.107658712,0.756870845,3.002119829,3.598842086,2.804833841
-1.81484404,-1.106590902,-1.10704064,-1.512595585,-0.844171946,-1.261798893
-2.097610124,-0.817781401,-1.506430593,-0.66930396,-0.797936859,-0.934601856
-1.912047092,-1.425601624,-1.458697664,-0.412974718,-0.539953408,-1.207747265
1.802508134,-0.500278963,-0.628696386,-1.959547097,-0.04693492,0.956324777
0.314425648,1.137988183,-0.548568384,0.38978425,0.230217439,-2.050672249
1.291730983,1.106567981,-1.36522274,2.2641597,3.90153924,0.76183777
1.121807579,-3.005232029,-1.196024883,7.801622544,-4.082242801,-0.914243618
1.009100798,-0.316641506,0.525358594,0.16886151,-4.419211304,0.116367227
-1.852270747,-1.561717695,-1.481701827,-1.031441283,-0.864400873,-0.952905609
1.628036102,2.025804269,1.626656186,1.070780258,1.179699701,0.679290335
1.655603068,0.67678228,-1.439837985,2.063099904,4.243437176,0.743534641
0.429064302,0.876018595,-2.617412269,-0.090597876,0.488724319,-1.025953916
0.677019758,1.3073054,1.458447002,-0.160865545,-0.335504379,1.44693437
2.680054881,1.997326856,0.008662076,1.739632161,1.65542246,-0.22941618
2.381167315,0.147168625,-0.407567906,1.838403849,2.509847184,1.255108394
2.983484557,3.338209657,1.273279244,3.733267814,2.12390981,0.975568043
2.50974385,-1.821650989,-1.914917381,-0.988661358,-5.5439862,2.569521146
-1.570309682,-1.346729201,-0.487698237,-0.027619546,-1.386585651,0.02752758
1.520345763,2.211822417,0.739898787,2.531940163,4.302098915,2.407792408
2.764425072,2.635148448,0.772000961,2.238332127,2.992349355,1.092761977
1.111263349,0.264259856,-1.046232275,3.423286401,3.584115684,1.877410963
-0.041947251,0.033088139,-1.109960764,1.9140954,3.549789043,0.893123286
1.539520742,2.227756759,-0.475072836,0.05615726,1.306996912,0.5263738
1.858604835,-1.351171761,-0.927684457,-0.427783097,0.289682734,-2.710595688
1.9562241,1.271831965,-0.321698951,2.627388569,3.743912874,1.517038938
2.680719731,1.510324894,3.594151843,0.565459349,-0.174448291,0.524361099
0.208618239,-2.788594323,-2.364251429,-0.939010907,-1.123791127,0.518254114
2.358791454,1.151418928,0.682058292,0.709389049,1.438938075,0.251966703
2.43125344,1.770535382,0.361098751,-0.370310728,1.264405582,1.460734411
2.690293175,2.748242704,-0.090453824,3.871592838,5.21729783,2.16216197
5.278139895,3.676911013,0.61294435,1.596628392,4.217869763,-0.091405949
-0.176909509,-3.715764664,-0.254022708,-1.007966153,-2.779432841,-1.396179302
-2.141815362,-1.084533492,-1.38226368,-1.035411022,-0.623512909,-0.465724791
0.372048343,0.587317364,-1.780938804,2.455102798,3.416515015,1.188888524
0.730460083,-3.066865834,-1.492915679,0.543965021,-2.281402015,-2.55904363
1.366335586,2.064259303,0.536645791,2.622164077,2.942657682,2.841205771
-1.035092084,-1.462948778,0.350865876,-1.561966953,-1.295729861,-0.454353597
0.73379125,-3.359733638,-1.763728369,0.757536722,-3.69277616,-2.56007725
1.87487093,1.21566036,1.586074779,-0.410326643,0.308453167,-0.112074036
2.576760278,2.134862971,0.835250936,1.815478069,3.45723623,1.752941439
1.482051197,2.896976482,0.393120179,3.307794193,3.741069526,2.037122568
1.155449807,0.52037777,1.476689494,0.353422484,1.61748439,0.85965917
-1.887319692,-1.026292629,-1.259849222,-0.770822384,-1.02441225,-0.440104291
-0.110823844,0.88101777,-2.48141542,0.074495356,-1.053138217,-0.739978046
1.031154501,-2.006818906,-1.776147797,2.068850774,-8.124616395,-2.91316318
-1.383237454,-2.179204637,-1.714743487,2.989133266,-1.546699188,4.220006931
0.650129173,-3.174730569,-0.999393283,-0.085505183,-4.155783197,1.925496382
1.28757634,-1.987740246,-0.647800222,-1.834612205,-2.81578274,1.61659183
-0.93294288,1.515663421,1.407362486,-0.483240029,0.697265706,-0.744671342
0.638771608,1.136764265,2.447809205,0.285702426,2.040207743,0.483326402
0.236439694,-3.212762072,-2.393491009,1.682192276,-0.649686212,0.698346062
-1.865913657,-0.853849192,-1.432243365,-0.619810117,-0.167995844,-0.689580677
-0.270334229,-1.152247585,-0.839474173,-1.624937139,-0.883234628,0.699174257
0.157807445,-3.117045983,-3.326933492,0.574353498,-1.388547155,-0.214699481
-2.150051004,-1.476635276,-1.650406031,-1.183944315,-1.36175749,-1.752353143
-1.530937342,-1.667420606,-1.481680538,-0.184321905,-0.680948022,0.082133577
1.117521299,-0.154584925,0.239465826,-1.963908766,-0.904349853,0.145784291
2.991687873,0.150719092,-0.508693755,-0.802103356,0.039401933,0.099514043
1.783886448,-1.000495991,-0.187863607,-1.591398789,-3.172352888,-0.608669478
3.249771963,2.83639114,1.705563149,2.525089841,4.760368393,4.260118614
0.823224779,-3.248091082,-2.094010845,3.446455534,-6.341369415,-1.46883296
0.977898508,-6.445540475,-2.225769872,5.445976357,-6.351892672,-2.492334062
-1.053512795,-1.402237328,-2.433875981,-1.062956442,-0.616551396,-0.703742925
1.007597235,-2.633455754,-0.472569676,-2.314092478,-1.181082457,1.303522022
-8.122068066,-5.883015719,-5.169319149,-2.89321902,-6.543839865,-1.824360374
2.320094553,3.827634419,1.798276591,0.871202284,2.449813335,1.768893702
1.207074936,-1.290245079,-0.328367452,-0.627438788,-2.279551571,-2.293313636
0.790859184,-3.51512805,-2.41737568,1.237197962,-6.163851901,-1.853809439
1.25082788,1.274317656,0.53624926,2.173492517,2.335018992,2.618237493
-2.754446142,0.503546203,-0.614002982,-0.740270957,1.813094063,0.81248492
0.735687741,-3.855805664,-1.354893334,1.278805863,-0.658284691,6.002851155
-0.43501931,-1.613789455,-2.169498993,1.423334469,-4.06057674,0.231452343
-2.022717455,0.90799625,-0.922409586,-0.315032502,0.38239121,0.238474355
2.163328722,0.374786838,1.705386071,0.856614983,2.260054645,0.166621782
-0.512609021,-2.882404745,-2.866196402,-0.95726177,0.469367797,2.372782849
