Geneid,Overlap,Allatf4
Naaa,Common,atf4
Nars,Common,atf4
Ncl,ATF4_Only,atf4
Ndrg1,ATF4_Only,atf4
Nf1,ATF4_Only,atf4
Nfe2l1,Common,atf4
Nfkb1,ATF4_Only,atf4
Nfu1,Common,atf4
Nipbl,ATF4_Only,atf4
Nos2,ATF4_Only,atf4
Nosip,Common,atf4
Nrbf2,ATF4_Only,atf4
Nupr1,ATF4_Only,atf4
Optc,Common,atf4
Ormdl3,ATF4_Only,atf4
Osmr,ATF4_Only,atf4
Otub2,Common,atf4
Pacsin2,Common,atf4
Paqr3,Common,atf4
Pax8,Common,atf4
Pck2,ATF4_Only,atf4
Pdap1,ATF4_Only,atf4
Pde4dip,ATF4_Only,atf4
Per2,Common,atf4
Per3,ATF4_Only,atf4
Pfdn1,Common,atf4
Phf10,ATF4_Only,atf4
Phf21a,ATF4_Only,atf4
Phgdh,ATF4_Only,atf4
Pkmyt1,Common,atf4
Pla2g12a,ATF4_Only,atf4
Pld1,ATF4_Only,atf4
Plekhh3,ATF4_Only,atf4
Pnrc2,Common,atf4
Pop5,Common,atf4
Ppp1r15a,Common,atf4
Ppp1r15b,Common,atf4
Ppp2r5a,ATF4_Only,atf4
Prdm15,Common,atf4
Psat1,ATF4_Only,atf4
Ptbp1,Common,atf4
Ptn,Common,atf4
Ptpn12,ATF4_Only,atf4
Ptpn21,Common,atf4
Ptprs,ATF4_Only,atf4
Pvrl2,Common,atf4
Pycr1,ATF4_Only,atf4
Rad21,ATF4_Only,atf4
Rai1,ATF4_Only,atf4
Ran,ATF4_Only,atf4
Rbm39,Common,atf4
Rbm4,ATF4_Only,atf4
Rbm9,Common,atf4
Rcc2,Common,atf4
Rhbdd1,ATF4_Only,atf4
Rhoq,ATF4_Only,atf4
Rnaset2b,ATF4_Only,atf4
Rnf114,Common,atf4
Rpl13a,Common,atf4
Rpl7,Common,atf4
Rprd2,ATF4_Only,atf4
Rps6ka2,ATF4_Only,atf4
Rsbn1,Common,atf4
Runx3,ATF4_Only,atf4
Ruvbl2,ATF4_Only,atf4
Samd4,Common,atf4
Samd8,ATF4_Only,atf4
Sars,Common,atf4
Scpep1,ATF4_Only,atf4
Sema6d,ATF4_Only,atf4
Serpinb9,ATF4_Only,atf4
Serpinf1,ATF4_Only,atf4
Sertad2,Common,atf4
Sesn2,ATF4_Only,atf4
Sh3bp5l,ATF4_Only,atf4
Shmt2,ATF4_Only,atf4
Slc19a2,Common,atf4
Slc1a4,ATF4_Only,atf4
Slc1a5,ATF4_Only,atf4
Slc20a1,Common,atf4
Slc25a28,ATF4_Only,atf4
Slc25a33,ATF4_Only,atf4
Slc25a39,Common,atf4
Slc35b4,ATF4_Only,atf4
Slc38a2,ATF4_Only,atf4
Slc38a7,Common,atf4
Slc3a2,ATF4_Only,atf4
Slc41a3,Common,atf4
Slc6a9,ATF4_Only,atf4
Slc7a1,ATF4_Only,atf4
Slc7a11,Common,atf4
Slc7a5,Common,atf4
Sltm,ATF4_Only,atf4
Snai2,Common,atf4
Snrnp35,Common,atf4
Snx12,ATF4_Only,atf4
Snx33,Common,atf4
Soat2,Common,atf4
Spats2,ATF4_Only,atf4
Spen,ATF4_Only,atf4
Spred1,ATF4_Only,atf4
Sqstm1,Common,atf4
Srpk1,ATF4_Only,atf4
Srsf1,Common,atf4
Stard5,ATF4_Only,atf4
Stc2,Common,atf4
Stk40,Common,atf4
Surf6,ATF4_Only,atf4
Synj2,ATF4_Only,atf4
Tab2,Common,atf4
Taf15,Common,atf4
Taf5,ATF4_Only,atf4
Tagln2,Common,atf4
Tars,ATF4_Only,atf4
Tbc1d9b,Common,atf4
Tbce,ATF4_Only,atf4
Tbpl1,Common,atf4
Tet3,ATF4_Only,atf4
Tgif1,Common,atf4
Tlcd2,ATF4_Only,atf4
Tmem11,Common,atf4
Tmem154,ATF4_Only,atf4
Tmem189,Common,atf4
Tnfaip2,ATF4_Only,atf4
Tnks,Common,atf4
Tnpo1,ATF4_Only,atf4
Tnrc6c,ATF4_Only,atf4
Tor3a,ATF4_Only,atf4
Tpx2,Common,atf4
Traf3ip2,ATF4_Only,atf4
Trem3,Common,atf4
Trib3,Common,atf4
Trim35,ATF4_Only,atf4
Trim66,ATF4_Only,atf4
Tsc22d3,ATF4_Only,atf4
Tspan5,Common,atf4
Tspyl4,Common,atf4
Ttc23,ATF4_Only,atf4
Ttc9c,ATF4_Only,atf4
Uba3,ATF4_Only,atf4
Ube2g2,Common,atf4
Ube2w,Common,atf4
Ubp1,ATF4_Only,atf4
Ubr2,Common,atf4
Ubr4,ATF4_Only,atf4
Uhrf1bp1,ATF4_Only,atf4
Uqcrc2,ATF4_Only,atf4
Uqcrq,Common,atf4
Usp11,ATF4_Only,atf4
Usp2,ATF4_Only,atf4
Usp36,ATF4_Only,atf4
Usp6nl,Common,atf4
Vac14,ATF4_Only,atf4
Vars,Common,atf4
Vldlr,Common,atf4
Vps54,ATF4_Only,atf4
Wars,Common,atf4
Wbp4,ATF4_Only,atf4
Wdr27,ATF4_Only,atf4
Wisp1,ATF4_Only,atf4
Wwp2,Common,atf4
Wwtr1,ATF4_Only,atf4
Xpot,Common,atf4
Yars,Common,atf4
Ylpm1,Common,atf4
Ypel5,Common,atf4
Ywhag,Common,atf4
Zbtb38,Common,atf4
Zbtb7b,ATF4_Only,atf4
Zc3h18,Common,atf4
Zc3hav1,Common,atf4
Zfc3h1,Common,atf4
Zfp238,Common,atf4
Zfp365,ATF4_Only,atf4
Zfp598,Common,atf4
Zfp608,ATF4_Only,atf4
Zfp623,ATF4_Only,atf4
Zfp708,ATF4_Only,atf4
Zyg11b,ATF4_Only,atf4
Psph,,atf4
Pmaip1,,atf4
